,NU_INSCRICAO,NU_ANO,CO_MUNICIPIO_RESIDENCIA,NO_MUNICIPIO_RESIDENCIA,CO_UF_RESIDENCIA,SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,CO_MUNICIPIO_NASCIMENTO,NO_MUNICIPIO_NASCIMENTO,CO_UF_NASCIMENTO,SG_UF_NASCIMENTO,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,CO_ESCOLA,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,IN_BAIXA_VISAO,IN_CEGUEIRA,IN_SURDEZ,IN_DEFICIENCIA_AUDITIVA,IN_SURDO_CEGUEIRA,IN_DEFICIENCIA_FISICA,IN_DEFICIENCIA_MENTAL,IN_DEFICIT_ATENCAO,IN_DISLEXIA,IN_DISCALCULIA,IN_AUTISMO,IN_VISAO_MONOCULAR,IN_OUTRA_DEF,IN_SABATISTA,IN_GESTANTE,IN_LACTANTE,IN_IDOSO,IN_ESTUDA_CLASSE_HOSPITALAR,IN_SEM_RECURSO,IN_BRAILLE,IN_AMPLIADA_24,IN_AMPLIADA_18,IN_LEDOR,IN_ACESSO,IN_TRANSCRICAO,IN_LIBRAS,IN_LEITURA_LABIAL,IN_MESA_CADEIRA_RODAS,IN_MESA_CADEIRA_SEPARADA,IN_APOIO_PERNA,IN_GUIA_INTERPRETE,IN_MACA,IN_COMPUTADOR,IN_CADEIRA_ESPECIAL,IN_CADEIRA_CANHOTO,IN_CADEIRA_ACOLCHOADA,IN_PROVA_DEITADO,IN_MOBILIARIO_OBESO,IN_LAMINA_OVERLAY,IN_PROTETOR_AURICULAR,IN_MEDIDOR_GLICOSE,IN_MAQUINA_BRAILE,IN_SOROBAN,IN_MARCA_PASSO,IN_SONDA,IN_MEDICAMENTOS,IN_SALA_INDIVIDUAL,IN_SALA_ESPECIAL,IN_SALA_ACOMPANHANTE,IN_MOBILIARIO_ESPECIFICO,IN_MATERIAL_ESPECIFICO,IN_NOME_SOCIAL,IN_CERTIFICADO,NO_ENTIDADE_CERTIFICACAO,CO_UF_ENTIDADE_CERTIFICACAO,SG_UF_ENTIDADE_CERTIFICACAO,CO_MUNICIPIO_PROVA,NO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,CO_PROVA_CN,CO_PROVA_CH,CO_PROVA_LC,CO_PROVA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TX_RESPOSTAS_CN,TX_RESPOSTAS_CH,TX_RESPOSTAS_LC,TX_RESPOSTAS_MT,TP_LINGUA,TX_GABARITO_CN,TX_GABARITO_CH,TX_GABARITO_LC,TX_GABARITO_MT,TP_STATUS_REDACAO,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025,Q026,Q027,Q028,Q029,Q030,Q031,Q032,Q033,Q034,Q035,Q036,Q037,Q038,Q039,Q040,Q041,Q042,Q043,Q044,Q045,Q046,Q047,Q048,Q049,Q050
1,1c872e5eedca0fb7e98e816834c3d3b301370327,2016,2603454,Camaragibe,26,PE,32,M,1,3,1,2611606,Recife,26,PE,1,4,1,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2603454,Camaragibe,26,PE,1,1,0,0,eb768e63c4de44bce99c194a3b43c8a125cff227,a5deb20e1afb97c234cf49e9d25b18ad8b1e96f0,4a934273b8b55e10bc9ef5b13eae098792114786,4a934273b8b55e10bc9ef5b13eae098792114786,458.5,501.8,,,AECAEABAEBBBBDDCEEDACBEDCEDCDEDBADDECDECECECD,ACEEEBAADAABBBACEADCEABEAEDABDCABCDBDAEEEEEBC,,,1,EBEECADBCABECDDBEADCCABDEABEBCADBADDCCCEDBBCA,DCECBAAADCBBECAEDCEDDACCBDDACEDDBADBCADBCBCEE,,,,,,,,,,C,B,C,B,2,A,A,B,C,A,B,B,A,A,A,A,A,A,B,B,A,C,A,A,B,A,,,,,,,,5,5,5,5,5,5,5,,A,A,A,C,A,A,A,C,D
2,0b913848d58df660807ca8b855eb73433239bb0e,2016,2907509,Catu,29,BA,18,F,0,2,1,2927408,Salvador,29,BA,1,1,1,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2907509,Catu,29,BA,1,1,1,1,bf12da5696416f51c200d1d49c1cc211fe85f462,a460cdc0ba09f6b5e9767efce4116f76cdc6aa68,904534d5b0573937a55c9bac6a3c67ebf5c1a263,fe39dc9fe5069cf79d203dfb3d5a7e6baac1247f,634.2,667.5,635.2,728.6,EDDAEDCBCAEBABCAEBDBCBBECCDAECEDADEEECCACCAAD,EECBDBBEBCABBCEADAAEEEDCABDDEEACBBABECEDDCBED,DDDAD99999DCDCECDCAECDAEEADAEBACDEEBDAEACDACCDACAE,BBDBBDEBBCEBCEACABCECDACCBABEBDCEBBDADEABBEBE,0,EDABDEBBCAEBXBACEBEACCCACCDBCBDACDEDECCACCAAD,EECBDDACBCABBCEAAADEEEDCABDDECBBABEBBBEDDEBED,CDDABBCDACDDDBCCECAECDAECADAEBACEEEBDABACDACCCACAE,BDDDBDEBBCEBCEACAACEEEEACEDCBADCCDCDCDBABBDBC,1,160,160,160,160,160,800,E,E,C,D,4,I,B,E,E,B,A,B,B,B,B,B,A,B,E,B,B,E,B,B,B,A,,,,,,,,5,5,3,5,2,3,2,,C,A,A,A,A,E,A,A,A
3,5b2d2679a85fe9b466a05870e5e17c2720a07f74,2016,2304400,Fortaleza,23,CE,24,M,,3,1,2300200,Acaraú,23,CE,1,6,1,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2304400,Fortaleza,23,CE,1,1,1,1,13c66de1e06806125b8e33e8e1e0feb219e7d793,c160b83222d6c25bd763d7f2c3988c92e605fc9a,8e96f88c98d6d1935e42b26f9b3095534a586845,867528592eca782394fd2383a63e97ce76e4ff57,580.7,521.3,502.9,714.4,DBBEDCABADAABCCBCABBDEECCBBABEEECCBBCBBEADBCA,EBEEDDBBECEDDAABBBDABCABBAAADCBDACDBECBADEECE,ECBAB99999CBEACCEBCAEEEDDEDDEAAAADEDBBBADCCEADBABD,CCEEBACBBACECDECADCBEDDDCADBCDBCBBCCBDEBDECCD,0,EADBDCCBADBEBCEBCABDEBEEBECADDBEACACDDBCADCCA,EDDBDDACDCEDDACBBBCBCDCECADBEEBAAADECAECCBCAD,EECDABBECCDAAECBBCBDABBAAEEBBDCBADEBABEADCECEBCABD,CCEEBCCEBAABDDECADCEECDBCBDBECBADDACEAABDBDAD,1,120,120,120,120,120,600,B,B,C,A,5,D,A,B,C,A,C,B,A,B,A,B,A,A,B,B,A,E,B,B,B,C,F,E,3,3,5,5,5,5,5,5,5,0,5,5,5,A,A,A,B,A,A,A,A,A
4,e0d9a9da3eefc1a8f376d5611de46160e39ac363,2016,3550308,São Paulo,35,SP,21,F,0,2,1,3550308,São Paulo,35,SP,1,3,1,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3550308,São Paulo,35,SP,1,1,1,1,b4a02cd8ac876de9246c6991108f06b08276efcb,d336238849755f8c4d1cd790530784e08eecb16a,8e96f88c98d6d1935e42b26f9b3095534a586845,867528592eca782394fd2383a63e97ce76e4ff57,445.4,522.3,541.8,451.5,BEDECCADAADBEBABCAEABBCBEECCEAADBDEDBCDAEDCEE,DBEBAEBDACDCACCEEABCAEAEEBAADAAEDCABABBBDDCEC,99999ACBEDAAAACEECECAEBECCEBEEECCAECDBEBEACBCBAEBD,DACACEACCCBBCCDAACCAECDBBAEEDBCCEBECAACEAAAAC,1,DBDCCACADBADBCABDEBEECECDDBCADCCBEBBEDBEAEACA,EEBCBCEDDBDDACCCBCADADBAADEDDADCECAECBBBADCEC,EECDABBECCDAAECBBCBDABBAAEEBBDCBADEBABEADCECEBCABD,CCEEBCCEBAABDDECADCEECDBCBDBECBADDACEAABDBDAD,1,140,140,140,120,100,640,E,E,C,B,4,C,A,C,C,A,A,B,B,A,A,B,A,A,A,B,A,D,A,B,A,B,,,,,,,,4,4,4,5,4,3,5,,A,A,A,A,A,A,A,C,A
5,f4ce4948973518c6f8a493be4250ad7427030d9d,2016,3170107,Uberaba,31,MG,20,F,0,3,1,3170107,Uberaba,31,MG,1,2,1,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3170107,Uberaba,31,MG,1,1,1,1,b4a02cd8ac876de9246c6991108f06b08276efcb,d336238849755f8c4d1cd790530784e08eecb16a,9bbf3e09785a722b5662c744af0388cb864e0051,031934854425cbe102be6da94980b1e4d9b6e3e2,386,542.2,589.7,449.2,DEADBDECDEBADBCCEADBBCACACDDBACBDDBBCADDBCDBD,DBCCECBBABDBAACDCABDADBAABECDEACCCABEBBBBDBCB,CEDEA99999ABEBBAECAADEBDBECAACBABACAAABEDACDBEADEE,DAEDCACEACDBEACBDAECDCEEDBAECABECCEBAACABBCBD,0,DBDCCACADBADBCABDEBEECECDDBCADCCBEBBEDBEAEACA,EEBCBCEDDBDDACCCBCADADBAADEDDADCECAECBBBADCEC,CEDEACCBEBDBABECABDADEADCEDCBEBBCEBAAEBAAECBBCBDAB,DADCCECBDECADCBACDBCEEABDDAABDBCEADDBECEBAEBC,1,120,120,120,120,120,600,D,E,C,B,4,E,A,C,C,B,A,B,A,A,A,B,A,A,C,B,A,D,B,A,B,B,F,D,4,0,5,5,5,5,5,2,5,2,2,4,,A,A,A,A,A,A,A,A,B
6,3ff3ac895998a5e97fc95bcc734c02c6f00a2c02,2016,3531308,Monte Alto,35,SP,19,F,0,1,1,3531308,Monte Alto,35,SP,1,1,1,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3531308,Monte Alto,35,SP,1,1,1,1,13c66de1e06806125b8e33e8e1e0feb219e7d793,c160b83222d6c25bd763d7f2c3988c92e605fc9a,606e4f1d7efce5aeaabc3cf54ce3c2bc7f1bab75,3c195e1f8dee7de55d8c894c7d0ae1bfb8da7227,568.5,650.6,599.7,631.5,ECCADDEEABDDACDCDACDEAAEDECCAEDDCCECCECCBDACC,EBEEDDBCEBEDDACEBECADCCEBBDBECBAAADECAECECCBD,99999DADBADBBEADAECEDCCEEABCEBBACAAAAADDBDBBABAAAE,EAAEDBCDDEBCACBADCBCABDDCADEAACBCDEBCBCDBCCBA,1,EADBDCCBADBEBCEBCABDEBEEBECADDBEACACDDBCADCCA,EDDBDDACDCEDDACBBBCBCDCECADBEEBAAADECAECCBCAD,EDECACCBBEDEBBBDABCBBCCEBADCEBAAEAAEDCBCABDBABEADE,CEECDBDADEBCCEBABECEACBDABDBDDABDDECADCCEACBA,1,160,140,140,160,120,720,E,F,D,D,3,F,A,C,C,B,A,B,B,B,A,B,A,B,C,B,B,C,B,B,B,A,,,,,,,,5,5,2,5,5,0,5,,A,A,A,A,A,E,A,A,A
7,9d1248cc4fb61b470bd7e58919a9a2ee29ea1d20,2016,2930105,Senhor do Bonfim,29,BA,19,F,0,3,1,2930105,Senhor do Bonfim,29,BA,1,2,1,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2930105,Senhor do Bonfim,29,BA,1,1,1,1,13c66de1e06806125b8e33e8e1e0feb219e7d793,c160b83222d6c25bd763d7f2c3988c92e605fc9a,8e96f88c98d6d1935e42b26f9b3095534a586845,867528592eca782394fd2383a63e97ce76e4ff57,380.5,488,478.3,368.9,CAEBABDABBBDADDAABDECCDBDEABDDBCABACEACDBEEBA,EDCEECACAADADEAEBCCDADEEABDEDCBBBAEAEDCDEACAA,CEABE99999ACA*DEBBAAEDBEACEBCADAACACAEAABAAAEADEAD,ACABACACDCABEEBABAECBAACBDAEDEAECADACAABACAEE,0,EADBDCCBADBEBCEBCABDEBEEBECADDBEACACDDBCADCCA,EDDBDDACDCEDDACBBBCBCDCECADBEEBAAADECAECCBCAD,EECDABBECCDAAECBBCBDABBAAEEBBDCBADEBABEADCECEBCABD,CCEEBCCEBAABDDECADCEECDBCBDBECBADDACEAABDBDAD,1,100,100,100,120,40,460,E,B,A,A,6,B,A,B,C,A,A,B,A,A,A,A,A,A,B,B,A,B,A,A,A,A,,,,,,,,5,5,3,5,5,4,5,,A,A,A,A,A,A,A,A,A
8,26ca2c7eb4bc66303a91477c5d9d71097e03a47b,2016,2307304,Juazeiro do Norte,23,CE,20,F,0,2,1,2306306,Itapagé,23,CE,1,3,1,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2307304,Juazeiro do Norte,23,CE,1,1,0,0,b4a02cd8ac876de9246c6991108f06b08276efcb,d336238849755f8c4d1cd790530784e08eecb16a,4a934273b8b55e10bc9ef5b13eae098792114786,4a934273b8b55e10bc9ef5b13eae098792114786,581.3,475.1,,,BBDBEDCABDDCBBDABEDECACBDBCCADCCADCDBDBAEEBCD,EBEBCDECBADDDBEDBCCEAADBCEABDBDABCDECABBABDCE,,,1,DBDCCACADBADBCABDEBEECECDDBCADCCBEBBEDBEAEACA,EEBCBCEDDBDDACCCBCADADBAADEDDADCECAECBBBADCEC,,,,,,,,,,C,E,F,B,4,B,A,B,B,A,A,B,A,A,A,A,A,A,B,B,A,B,A,A,B,B,F,E,5,2,4,2,1,4,3,0,0,0,4,4,,A,A,A,A,A,A,D,A,B
9,88a6278f3c7bf29069d05241e9d37ee9181bf798,2016,1302603,Manaus,13,AM,18,F,0,3,1,1302603,Manaus,13,AM,2,0,2,1,0,13087843,1302603,Manaus,13,AM,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1302603,Manaus,13,AM,1,1,1,1,b4a02cd8ac876de9246c6991108f06b08276efcb,d336238849755f8c4d1cd790530784e08eecb16a,9bbf3e09785a722b5662c744af0388cb864e0051,031934854425cbe102be6da94980b1e4d9b6e3e2,513.3,521.5,474.2,508.5,AEACCCDECBCBBDCCBDEEABCECDBCDECDDDBBDCCACECDD,DBECDCDBABDCCDCABCADCDCADDAADCAECBDBABBBBCCEC,BEBDE99999AEBDABCCBCBACCACCDCEBEEDDAACECDDCEEBCBAE,CECCBBCDDCBCBCBBDCBBBECEDDCDEBCCDCEBAEEDDCBCB,0,DBDCCACADBADBCABDEBEECECDDBCADCCBEBBEDBEAEACA,EEBCBCEDDBDDACCCBCADADBAADEDDADCECAECBBBADCEC,CEDEACCBEBDBABECABDADEADCEDCBEBBCEBAAEBAAECBBCBDAB,DADCCECBDECADCBACDBCEEABDDAABDBCEADDBECEBAEBC,1,120,120,80,100,60,480,C,D,B,B,12,C,A,B,C,B,A,C,B,C,A,B,A,A,B,B,B,B,B,A,B,C,C,B,2,0,5,5,5,5,5,1,2,5,5,5,3,A,A,A,A,B,A,A,A,A
10,ddd63ddf33b6b10f018dc25e20ee3cd1162f086b,2016,3550308,São Paulo,35,SP,31,M,,3,1,3550308,São Paulo,35,SP,1,1,1,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3550308,São Paulo,35,SP,1,1,1,1,eb768e63c4de44bce99c194a3b43c8a125cff227,a5deb20e1afb97c234cf49e9d25b18ad8b1e96f0,9bbf3e09785a722b5662c744af0388cb864e0051,031934854425cbe102be6da94980b1e4d9b6e3e2,421.2,487.3,484.2,480.5,BECABBEBCDBCAEDAEBACCCACDECCDABDDECEBBACEBEBC,DCEEEBCADCBBAEACEEDDBCEBDDCBEDEDEABCBBEEDEBAA,DAEAD99999EDCBECDEDACCDEAEECBBCBEDCAABAEBEEDCEEADA,BEBECBCACECEBAAEDDECAEEDAECCACAAADAAADAEBEBAA,0,EBEECADBCABECDDBEADCCABDEABEBCADBADDCCCEDBBCA,DCECBAAADCBBECAEDCEDDACCBDDACEDDBADBCADBCBCEE,CEDEACCBEBDBABECABDADEADCEDCBEBBCEBAAEBAAECBBCBDAB,DADCCECBDECADCBACDBCEEABDDAABDBCEADDBECEBAEBC,6,0,0,0,0,0,0,B,B,D,B,3,D,A,B,B,B,A,B,A,B,A,B,A,B,C,B,A,E,B,B,B,C,F,E,5,5,5,5,5,5,5,5,5,5,5,5,5,A,A,A,A,A,A,B,B,D
